"NOMPSN";"PREPSN";"DATNAIPSN";"SEXPSN";"CODPRO";"CODE_NUA";"EFFECTIF_LEGAL";"CODDPT";"CODCOM";"CODSECT";"SORTANT";"CODE_NUANCE_DE_LISTE";"CODE_PERSONNALITE";"TOUR_ELECTION"
"ZAVERONI";"Thierry";"1961-09-17";"M";"74";"DVD";43;"13";"13055";"13055SR06";;"LDVD";;"élu T2"
"BIARD SANSONETTI";"Tina";"1986-02-22";"F";"52";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"TOUCHE";"Karim";"1976-10-12";"M";"37";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"MOSTEFAOUI";"Fatima";"1966-05-21";"F";"43";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"PINATEL";"Frédéric";"1967-01-14";"M";"38";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"GATIAN";"Audrey";"1983-04-13";"F";"37";"SOC";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"ITRISSO";"Mohamed";"1975-12-19";"M";"85";"COM";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"CORDIER";"Monique";"1950-05-04";"F";"72";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"HAMMACHE";"Azdine";"1975-07-05";"M";"33";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"DOGHMANE";"Malika";"1973-07-02";"F";"31";"VEC";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"HEDDADI";"Ahmed";"1981-10-20";"M";"63";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"HADJ-CHIKH";"Haouaria";"1971-06-01";"F";"43";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"ROSSI";"Julien";"1988-05-18";"M";"33";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"BENAOUDA";"Farida";"1979-03-23";"F";"22";"DVG";53;"13";"13055";"13055SR07";"OUI";"LUG";;"élu T2"
"CORTES";"Antoine";"1984-03-22";"M";"31";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"BREMONDY";"Evelyne";"1959-10-05";"F";"35";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"TRAORÉ";"Ahmed";"1981-12-18";"M";"52";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"QUINTRAND";"Elodie";"1985-07-27";"F";"31";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"GRISY";"Florain";"1975-07-25";"M";"45";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"HONDE";"Malory";"1979-10-23";"F";"55";"COM";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"VITALE";"Eric";"1964-12-04";"M";"48";"VEC";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"KHERBACHE";"Lynda";"1994-03-27";"F";"22";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"MAKKAOUI";"Ali";"2003-03-30";"M";"47";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"OUIDEF";"Fadela";"1984-07-03";"F";"48";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"AROUEL";"Mohamed";"2004-10-31";"M";"84";"SOC";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"ABIDELLI";"Ilyana";"2004-07-27";"F";"84";"SOC";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"UTSAHOI";"Archad";"1990-10-10";"M";"43";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"NOUARI";"Omhani";"1972-10-26";"F";"43";"VEC";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"TRUJILLO";"Fabien";"1975-04-01";"M";"54";"COM";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"DI MARINO";"Anne";"1969-09-08";"F";"33";"SOC";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"MAHMOUD";"Mouataz";"1979-07-27";"M";"38";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"DUTERTRE ALTESE";"Morgane";"1996-06-12";"F";"37";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"EMAIN";"David";"1980-02-09";"M";"34";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"HONDE-AMIAR";"Marion";"1978-06-22";"F";"54";"COM";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"YALIC";"Raffi";"1992-06-02";"M";"52";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"BENMAHROUZ";"Nawelle";"1991-03-02";"F";"85";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"SOLER";"Yohann";"1988-12-03";"M";"52";"DVG";53;"13";"13055";"13055SR07";"OUI";"LUG";;"élu T2"
"BOUKRINE";"Doudja";"1970-05-01";"F";"45";"DVG";53;"13";"13055";"13055SR07";"OUI";"LUG";;"élu T2"
"TURC";"Fabrice";"1975-01-09";"M";"37";"PLP";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"FIRTINA";"Berfin";"1998-06-23";"F";"85";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"BANOYAN";"Manuel";"1987-01-19";"M";"22";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"SIRAT";"Nouria";"1962-02-05";"F";"77";"DVG";53;"13";"13055";"13055SR07";;"LUG";;"élu T2"
"D'ANGIO";"Sandrine";"1981-12-18";"F";"22";"RN";53;"13";"13055";"13055SR07";;"LRN";;"élu T2"
"DUDIEUZERE";"Cédric";"1972-09-09";"M";"38";"RN";53;"13";"13055";"13055SR07";"OUI";"LRN";;"élu T2"
"LELOUIS";"Gisèle";"1952-03-10";"F";"33";"RN";53;"13";"13055";"13055SR07";"OUI";"LRN";"DEP";"élu T2"
"MONTI";"Didier";"1958-10-18";"M";"31";"RN";53;"13";"13055";"13055SR07";"OUI";"LRN";;"élu T2"
"AGIUS";"Chantal";"1950-02-03";"F";"74";"RN";53;"13";"13055";"13055SR07";"OUI";"LRN";;"élu T2"
"KUBICKI";"Lukas";"2002-08-23";"M";"45";"RN";53;"13";"13055";"13055SR07";;"LRN";;"élu T2"
"LAVARESE";"Domenica";"1964-04-29";"F";"56";"RN";53;"13";"13055";"13055SR07";;"LRN";;"élu T2"
"BAUDINO";"Antoine";"1992-01-29";"M";"45";"RN";53;"13";"13055";"13055SR07";;"LRN";;"élu T2"
"BALTAYAN";"Anais";"1991-01-28";"F";"56";"RN";53;"13";"13055";"13055SR07";;"LRN";;"élu T2"
"VENDREDI";"Vincent";"1969-05-09";"M";"21";"RN";53;"13";"13055";"13055SR07";"OUI";"LRN";;"élu T2"
"SICARD";"Caroline";"1960-05-15";"F";"74";"RN";53;"13";"13055";"13055SR07";"OUI";"LRN";;"élu T2"
"BAREILLE";"Marion";"1982-11-13";"F";"37";"DVD";53;"13";"13055";"13055SR07";"OUI";"LDVD";;"élu T2"
"GHALI";"Samia";"1968-06-10";"F";"77";"DVG";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"COPPOLA";"Jean-Marc";"1960-01-21";"M";"77";"COM";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"BOULAINSEUR";"Nadia";"1968-04-15";"F";"52";"DVG";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"RAMDANE";"Hedi";"1985-08-15";"M";"37";"DVG";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"FURACE";"Josette";"1962-10-06";"F";"33";"DVG";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"M'ZE";"Ibrahim";"1971-04-13";"M";"52";"COM";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"TAGUELMINT";"Hanifa";"1962-02-09";"F";"77";"DVG";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"JIBRAYEL";"Sébastien";"1979-10-24";"M";"38";"SOC";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"MOKHTARI";"Férouz";"1965-04-23";"F";"46";"DVG";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"PASTOR";"Romain";"1994-12-13";"M";"34";"SOC";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"VESTIEU";"Catherine";"1960-10-22";"F";"35";"DVG";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"DJEBALI";"Karim";"1982-09-25";"M";"43";"VEC";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"OUDINA";"Sadjia";"1975-05-03";"F";"42";"DVG";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"CHOULAK";"Lyece";"1974-08-11";"M";"45";"SOC";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"LANDO";"Mireille";"1971-06-29";"F";"34";"COM";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"HANY";"Othmane";"1999-03-12";"M";"56";"DVG";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"HOUT";"Sabrina";"1975-12-19";"F";"43";"DVG";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"BIONDO";"Anthony";"1999-03-31";"M";"37";"DVG";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"MANSOURI";"Aicha";"1982-10-28";"F";"43";"DVG";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"CHRISTO-FOROUX";"Eugène";"1993-07-16";"M";"47";"COM";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"ZERDAB";"Nadia";"1991-12-18";"F";"84";"DVG";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"BENREZKALLAH";"Akim";"1988-07-17";"M";"48";"DVG";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"GIACOMONI";"Elisabeth";"1962-07-21";"F";"54";"DVG";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"ISMAÏLA";"Saïd";"1984-11-22";"M";"43";"DVG";33;"13";"13055";"13055SR08";;"LUG";;"élu T2"
"NAIT ALI";"Sabrina";"1976-10-05";"F";"85";"DVG";33;"13";"13055";"13055SR08";"OUI";"LUG";;"élu T2"
"CHARPENTIER";"Thibaut";"1987-02-13";"M";"38";"RN";33;"13";"13055";"13055SR08";;"LRN";;"élu T2"
"POSTEAU";"Marie Laurence";"1965-10-23";"F";"37";"RN";33;"13";"13055";"13055SR08";;"LRN";;"élu T2"
"SELLOUM";"Arezki";"1970-03-11";"M";"43";"RN";33;"13";"13055";"13055SR08";"OUI";"LRN";;"élu T2"
"SKANDAR";"Patricia";"1964-04-23";"F";"47";"REC";33;"13";"13055";"13055SR08";;"LRN";;"élu T2"
"CHACHUAT";"Axel";"1997-05-02";"M";"23";"RN";33;"13";"13055";"13055SR08";;"LRN";;"élu T2"
"BOINAHERI";"Rabyata";"1987-01-17";"F";"56";"FI";33;"13";"13055";"13055SR08";;"LFI";;"élu T2"
"DELOGU";"Sébastien";"1987-06-08";"M";"86";"FI";33;"13";"13055";"13055SR08";;"LFI";"DEP";"élu T2"
"SONCIN";"Lisa";"1993-11-19";"F";"43";"ECO";33;"13";"13055";"13055SR08";;"LFI";;"élu T2"
"BOUÂGGA";"Yasmine";"1982-10-12";"F";"34";"VEC";12;"69";"69123";"69123SR01";;"LDVG";;"élu T2"
"BONNEFOY";"Thomas";"1990-12-19";"M";"37";"SOC";12;"69";"69123";"69123SR01";;"LDVG";;"élu T2"
"MARCHAL";"Clarisse";"1968-03-29";"F";"52";"ECO";12;"69";"69123";"69123SR01";;"LDVG";;"élu T2"
"ROBIN";"Guillaume";"1996-06-12";"M";"37";"FI";12;"69";"69123";"69123SR01";;"LDVG";;"élu T2"
"BERRACHED";"Fatima";"1974-05-25";"F";"52";"DVG";12;"69";"69123";"69123SR01";;"LDVG";;"élu T2"
"BURTON-PAGE";"Mark";"1985-09-16";"M";"37";"VEC";12;"69";"69123";"69123SR01";;"LDVG";;"élu T2"
"BACCAÏNI";"Brigitte";"1963-12-27";"F";"33";"PLP";12;"69";"69123";"69123SR01";;"LDVG";;"élu T2"
"LEIBA";"Raphaël";"1991-07-02";"M";"34";"DVG";12;"69";"69123";"69123SR01";;"LDVG";;"élu T2"
"LEROY";"Camille";"2003-01-04";"F";"84";"SOC";12;"69";"69123";"69123SR01";;"LDVG";;"élu T2"
"LEVITE";"Jean-Pierre";"1966-06-30";"M";"46";"FI";12;"69";"69123";"69123SR01";;"LDVG";;"élu T2"
"CÉDAT";"Laure";"1978-04-05";"F";"31";"DVC";12;"69";"69123";"69123SR01";;"LDVC";;"élu T2"
"MATHON";"Julien";"1984-07-19";"M";"34";"DVC";12;"69";"69123";"69123SR01";;"LDVC";;"élu T2"
"OLIVER";"Pierre";"1992-06-09";"M";"85";"LR";12;"69";"69123";"69123SR02";"OUI";"LDVD";;"élu T2"
"GUILLOTEAU";"Maryll";"1986-05-09";"F";"45";"LR";12;"69";"69123";"69123SR02";"OUI";"LDVD";;"élu T2"
"CHAILLET";"Jean-Stéphane";"1970-08-15";"M";"37";"DVD";12;"69";"69123";"69123SR02";"OUI";"LDVD";;"élu T2"
"BLANC";"Alexine";"1989-03-03";"F";"31";"DVD";12;"69";"69123";"69123SR02";;"LDVD";;"élu T2"
"FETTER";"Hugo";"1999-07-06";"M";"22";"LR";12;"69";"69123";"69123SR02";;"LDVD";;"élu T2"
"MICHOLIN";"Nadine";"1962-04-12";"F";"75";"DVD";12;"69";"69123";"69123SR02";;"LDVD";;"élu T2"
"PETITJEAN";"Adrien";"1999-03-15";"M";"33";"UDI";12;"69";"69123";"69123SR02";;"LDVD";;"élu T2"
"EYNAUD LASSALLE";"Clara";"2004-01-15";"F";"84";"REN";12;"69";"69123";"69123SR02";;"LDVD";;"élu T2"
"GUILMEAU";"Vincent";"1965-05-28";"M";"37";"LR";12;"69";"69123";"69123SR02";;"LDVD";;"élu T2"
"LE PODER";"Anne-Sophie";"1983-10-03";"F";"31";"DVD";12;"69";"69123";"69123SR02";;"LDVD";;"élu T2"
"LUNGENSTRASS";"Valentin";"1994-07-15";"M";"38";"VEC";12;"69";"69123";"69123SR02";"OUI";"LUG";;"élu T2"
"ORTIGER MARTIN";"Caroline";"1989-04-04";"F";"22";"DVG";12;"69";"69123";"69123SR02";;"LUG";;"élu T2"
"SESSIECQ";"Marion";"1973-10-02";"F";"74";"VEC";44;"69";"69123";"69123SR03";"OUI";"LDVG";;"élu T2"
"NASR";"Tom";"1992-02-26";"M";"38";"VEC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"PHAM";"Perrine";"1989-04-13";"F";"85";"DVG";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"LEVY";"Albert";"1951-05-20";"M";"74";"FI";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"GAUTHIER";"Lisa";"1976-02-02";"F";"33";"PLP";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"GALMICHE";"Antoine";"1986-02-05";"M";"33";"SOC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"HARDY";"Mathilde";"1998-01-27";"F";"33";"COM";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"ROCHE";"Thibaud";"1988-07-02";"M";"34";"DVG";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"DUCHET";"Nathalie";"1974-08-02";"F";"33";"DVG";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"VIVIEN";"Emmanuel";"1969-09-09";"M";"37";"VEC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"GRUNEWALD";"Claire";"1967-08-04";"F";"21";"FI";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"BALANDJIAN";"Jacques";"1977-03-23";"M";"63";"SOC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"BENSABER";"Shéhérazade";"1974-10-10";"F";"37";"SOC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"AMIN";"Azzam";"1970-08-28";"M";"34";"FI";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"FERRE";"Gwenaelle";"1982-07-24";"F";"35";"DVG";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"CHOTIN";"Victor";"2000-03-01";"M";"33";"DVG";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"WACHTEL";"Marjory";"1973-10-30";"F";"38";"DVG";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"FOURN";"Franck";"1991-10-18";"M";"54";"COM";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"LEGER";"Stéphanie";"1972-09-26";"F";"46";"SOC";44;"69";"69123";"69123SR03";"OUI";"LDVG";;"élu T2"
"DUVIVIER";"Arthur";"1988-08-23";"M";"47";"GEN";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"MOZZICONACCI";"Sabah";"1978-11-07";"F";"34";"SOC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"PERINO";"Loic";"1998-04-20";"M";"37";"VEC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"RECAMIER";"Philomène";"1978-09-26";"F";"34";"VEC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"ARDUINI";"Cédric";"1989-10-24";"M";"38";"SOC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"ABED";"Inès";"1988-02-24";"F";"42";"FI";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"BADOUARD";"Benjamin";"1983-06-20";"M";"37";"VEC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"HARWAL PEROTTO";"Violaine";"1986-05-13";"F";"85";"DVG";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"BATAL";"Abdel";"1977-05-02";"M";"37";"VEC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"DELAMARE";"Rachel";"2002-05-09";"F";"84";"COM";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"LOUIS-JOSEPH";"Clement";"1986-01-24";"M";"31";"PLP";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"FONTAINE";"Léonie";"2001-03-03";"F";"85";"VEC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"SEGURA DE AYALA";"Daniel";"1980-12-29";"M";"38";"COM";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"RAJINTHAN";"Alexandrine";"1989-07-18";"F";"43";"SOC";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"PAOLI";"Raphaël";"1992-01-03";"M";"38";"FI";44;"69";"69123";"69123SR03";;"LDVG";;"élu T2"
"DE MONTILLE";"Béatrice";"1977-02-12";"F";"23";"LR";44;"69";"69123";"69123SR03";"OUI";"LDVD";;"élu T2"
"FAVIER";"Régis";"1976-05-13";"M";"38";"DVD";44;"69";"69123";"69123SR03";;"LDVD";;"élu T2"
"HOFFMANN";"Charlotte";"1987-06-09";"F";"46";"MDM";44;"69";"69123";"69123SR03";;"LDVD";;"élu T2"
"JAILLARD";"Bruno";"1962-10-31";"M";"74";"REN";44;"69";"69123";"69123SR03";;"LDVD";;"élu T2"
"BARONNIER";"Hélène";"1975-04-26";"F";"31";"HOR";44;"69";"69123";"69123SR03";;"LDVD";;"élu T2"
"CARABEUF";"Bruno";"1973-12-11";"M";"37";"HOR";44;"69";"69123";"69123SR03";;"LDVD";;"élu T2"
"BOISSEL";"Marion";"1973-11-10";"F";"37";"DVD";44;"69";"69123";"69123SR03";;"LDVD";;"élu T2"
"TURPIN";"Loïs";"2003-08-26";"M";"84";"DVD";44;"69";"69123";"69123SR03";;"LDVD";;"élu T2"
"TANDONNET";"Goveille";"1977-06-06";"F";"46";"LR";44;"69";"69123";"69123SR03";;"LDVD";;"élu T2"
"LASSAGNE";"Lionel";"1968-07-30";"M";"37";"LR";44;"69";"69123";"69123SR03";;"LDVD";;"élu T2"
"ZINCK";"Rémi";"1966-05-07";"M";"34";"VEC";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"PELEGRINY";"Camille";"1978-06-30";"F";"33";"SOC";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"PRIETO";"Philippe";"1961-03-28";"M";"37";"SOC";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"TOUIL";"Saaïda";"1988-02-14";"F";"42";"FI";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"MECKLENBURG";"Samuel";"1994-12-14";"M";"35";"VEC";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"GUITARD";"Aline";"1972-03-29";"F";"34";"COM";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"JOURNY";"François";"1982-06-22";"M";"23";"PLP";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"BAECHLER";"Juliette";"1977-02-22";"F";"37";"VEC";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"GUINET";"Cyril";"1990-12-02";"M";"37";"FI";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"BARBU";"Caroline";"1978-09-21";"F";"84";"DVG";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"JARRY";"Stanislas";"2003-03-27";"M";"84";"DVG";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"MONTON";"Béatrice";"1963-09-15";"F";"54";"COM";15;"69";"69123";"69123SR04";;"LDVG";;"élu T2"
"TERRENES";"Loïc";"1996-06-19";"M";"37";"REN";15;"69";"69123";"69123SR04";;"LDVC";;"élu T2"
"AMAR";"Valérie";"1960-02-17";"F";"33";"DVC";15;"69";"69123";"69123SR04";;"LDVC";;"élu T2"
"LAVOYE";"Mark";"1982-12-22";"M";"31";"REN";15;"69";"69123";"69123SR04";;"LDVC";;"élu T2"
"DUBOT";"Fanny";"1989-03-02";"F";"78";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"CABANTOUS";"Enzo";"2003-12-30";"M";"84";"SOC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"CHARRIER";"Sophie";"1973-03-01";"F";"31";"FI";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"MIACHON DEBARD";"Boris";"1989-10-30";"M";"21";"COM";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"PASIECZNIK";"Bénédicte";"1971-06-06";"F";"33";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"MONOT";"Vincent";"1981-09-28";"M";"33";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"DIGARD";"Fanny";"1997-01-28";"F";"38";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"SEDDIK";"Momen";"1995-07-24";"M";"33";"FI";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"BECKER";"Timandra";"2003-04-11";"F";"84";"SOC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"JUSTIN";"Grégory";"1992-04-27";"M";"31";"DVG";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"PUGNET";"Belinda";"1988-09-11";"F";"42";"FI";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"BOUKLILA";"Adénor";"1980-06-02";"M";"34";"DVG";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"HENOCQUE";"Audrey";"1981-03-04";"F";"33";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"LE SAUX";"Kevin";"1994-09-26";"M";"48";"DVG";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"PECOURT";"Sophie";"1972-10-19";"F";"37";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"LACROIX";"Jean-Michel";"1995-04-03";"M";"85";"FI";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"DE LAURENS";"Céline";"1980-07-22";"F";"37";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"SILVESTRE";"Martin";"1994-09-22";"M";"31";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"VIDAL";"Margaux";"1991-02-01";"F";"54";"SOC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"KLIOUA-KAMAL";"Naïl";"2003-11-02";"M";"84";"SOC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"PLAISANT";"Ivana";"1970-01-01";"F";"33";"FI";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"CHIHI";"Mohamed";"1978-07-05";"M";"34";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"TALBOT";"Fanny";"1971-11-04";"F";"42";"COM";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"BOUCHERON";"Matthieu";"1991-05-20";"M";"85";"COM";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"CHANAY";"Prune Antoinette Marie Guy";"1978-12-18";"F";"34";"SOC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"BERNARD";"Julien";"1988-01-26";"M";"62";"FI";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"TOMIC";"Sylvie";"1977-09-29";"F";"78";"GEN";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"ESCARAVAGE";"Clément";"1979-04-12";"M";"22";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"TRUILLET";"Anne-Elisabeth";"1995-06-12";"F";"38";"FI";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"GUILLEMET";"Nicolas";"1977-05-31";"M";"38";"VEC";37;"69";"69123";"69123SR07";;"LDVG";;"élu T2"
"DESRIEUX";"Emilie";"1978-01-29";"F";"31";"LR";37;"69";"69123";"69123SR07";"OUI";"LDVC";;"élu T2"
"GAVE";"Arnaud";"1996-05-31";"M";"37";"REN";37;"69";"69123";"69123SR07";;"LDVC";;"élu T2"
"BREUIL";"Cécile";"1972-01-30";"F";"37";"DVC";37;"69";"69123";"69123SR07";"OUI";"LDVC";;"élu T2"
"COURTOIS";"Benjamin";"1990-04-06";"M";"38";"HOR";37;"69";"69123";"69123SR07";;"LDVC";;"élu T2"
"NIAMAYOUA";"Tatiana";"1975-09-10";"F";"31";"DVC";37;"69";"69123";"69123SR07";;"LDVC";;"élu T2"
"DUPONT";"Bastien";"1994-12-04";"M";"33";"DVC";37;"69";"69123";"69123SR07";;"LDVC";;"élu T2"
"MET";"Violaine";"2004-09-01";"F";"84";"DVC";37;"69";"69123";"69123SR07";;"LDVC";;"élu T2"
"BERZANE";"Olivier";"1961-06-22";"M";"74";"VEC";36;"69";"69123";"69123SR08";"OUI";"LDVG";;"élu T2"
"MARAS";"Aurélie";"1979-10-01";"F";"38";"VEC";36;"69";"69123";"69123SR08";"OUI";"LDVG";;"élu T2"
"BECK";"Pascal";"1965-05-08";"M";"38";"VEC";36;"69";"69123";"69123SR08";;"LDVG";;"élu T2"
"GAILLARD";"Claire";"1981-04-14";"F";"34";"SOC";36;"69";"69123";"69123SR08";;"LDVG";;"élu T2"
"KOURNIF";"Anas";"1997-08-31";"M";"84";"FI";36;"69";"69123";"69123SR08";;"LDVG";;"élu T2"
"BERTHIAU";"Juliane";"1980-05-23";"F";"34";"COM";36;"69";"69123";"69123SR08";;"LDVG";;"élu T2"
"LOPEZ LANDIER";"Pierre";"1995-02-24";"M";"37";"SOC";36;"69";"69123";"69123SR08";;"LDVG";;"élu T2"
"DORDAIN";"Maud";"1993-02-25";"F";"85";"FI";36;"69";"69123";"69123SR08";;"LDVG";;"élu T2"
